*******,*****(),****()*,***()**,***()(),**()***,**()*(),**()()*,*()****,*()**(),*()*()*,*()()**,*()()(),()*****,()***(),()**()*,()*()**,()*()(),()()***,()()*(),()()()*
1325476,1325467,[1325746],1324576,1324567,[1352476],[1352467],[1352746],1235476,1235467,[1235746],1234576,1234567,3125476,3125467,[3125746],3124576,3124567,[3152476],[3152467],[3152746]
3625174,3625147,3625714,3621574,3621547,3652174,3652147,[3652714],3265174,3265147,3265714,[3261574],[3261547],6325174,6325147,6325714,6321574,6321547,6352174,6352147,[6352714]
3625471,3625417,3625741,3624571,3624517,3652471,3652417,[3652741],3265471,3265417,3265741,3264571,3264517,6325471,6325417,6325741,6324571,6324517,6352471,6352417,[6352741]
3627154,3627145,3627514,3621754,3621745,3672154,3672145,3672514,3267154,3267145,3267514,[3261754],[3261745],6327154,6327145,6327514,6321754,6321745,6372154,6372145,[6372514]
3627451,3627415,3627541,3624751,[3624715],3672451,3672415,3672541,3267451,3267415,3267541,3264751,[3264715],6327451,6327415,6327541,6324751,[6324715],[6372451],[6372415],[6372541]
3645172,3645127,3645712,3641572,3641527,3654172,3654127,3654712,3465172,3465127,3465712,[3461572],[3461527],6345172,6345127,6345712,6341572,6341527,6354172,6354127,6354712
3645271,3645217,3645721,3642571,3642517,3654271,3654217,3654721,3465271,3465217,3465721,[3462571],[3462517],6345271,6345217,6345721,6342571,6342517,6354271,6354217,6354721
3647152,3647125,3647512,3641752,[3641725],3674152,3674125,3674512,3467152,3467125,3467512,[3461752],[3461725],6347152,6347125,6347512,6341752,[6341725],[6374152],[6374125],[6374512]
3647251,3647215,3647521,3642751,[3642715],3674251,3674215,3674521,3467251,3467215,3467521,[3462751],[3462715],6347251,6347215,6347521,6342751,[6342715],[6374251],[6374215],[6374521]
3657142,3657124,3657412,[3651742],[3651724],3675142,3675124,3675412,3567142,3567124,3567412,[3561742],[3561724],6357142,6357124,6357412,[6351742],[6351724],[6375142],[6375124],[6375412]
3657241,3657214,3657421,[3652741],[3652714],3675241,3675214,3675421,3567241,3567214,3567421,[3562741],[3562714],6357241,6357214,6357421,[6352741],[6352714],[6375241],[6375214],[6375421]
3714265,3714256,[3714625],3712465,3712456,3741265,3741256,[3741625],3174265,3174256,[3174625],[3172465],[3172456],7314265,7314256,[7314625],7312465,7312456,7341265,7341256,[7341625]
3715264,3715246,3715624,3712564,3712546,3751264,3751246,[3751624],3175264,3175246,3175624,[3172564],[3172546],7315264,7315246,7315624,7312564,7312546,7351264,7351246,[7351624]
3715462,3715426,3715642,3714562,3714526,3751462,3751426,[3751642],3175462,3175426,3175642,3174562,3174526,7315462,7315426,7315642,7314562,7314526,7351462,7351426,[7351642]
3716254,3716245,3716524,3712654,3712645,3761254,3761245,3761524,3176254,3176245,3176524,[3172654],[3172645],7316254,7316245,7316524,7312654,7312645,7361254,7361245,7361524
3716452,3716425,3716542,3714652,[3714625],3761452,3761425,3761542,3176452,3176425,3176542,3174652,[3174625],7316452,7316425,7316542,7314652,[7314625],7361452,7361425,7361542
3724165,3724156,[3724615],3721465,3721456,3742165,3742156,[3742615],3274165,3274156,[3274615],[3271465],[3271456],7324165,7324156,[7324615],7321465,7321456,7342165,7342156,[7342615]
3725164,3725146,3725614,3721564,3721546,3752164,3752146,[3752614],3275164,3275146,3275614,[3271564],[3271546],7325164,7325146,7325614,7321564,7321546,7352164,7352146,[7352614]
3725461,3725416,3725641,3724561,3724516,3752461,3752416,[3752641],3275461,3275416,3275641,3274561,3274516,7325461,7325416,7325641,7324561,7324516,7352461,7352416,[7352641]
3726154,3726145,3726514,3721654,3721645,3762154,3762145,3762514,3276154,3276145,3276514,[3271654],[3271645],7326154,7326145,7326514,7321654,7321645,7362154,7362145,7362514
3726451,3726415,3726541,3724651,[3724615],3762451,3762415,3762541,3276451,3276415,3276541,3274651,[3274615],7326451,7326415,7326541,7324651,[7324615],7362451,7362415,7362541
3745162,3745126,3745612,3741562,3741526,3754162,3754126,3754612,3475162,3475126,3475612,[3471562],[3471526],7345162,7345126,7345612,7341562,7341526,7354162,7354126,7354612
3745261,3745216,3745621,3742561,3742516,3754261,3754216,3754621,3475261,3475216,3475621,[3472561],[3472516],7345261,7345216,7345621,7342561,7342516,7354261,7354216,7354621
3746152,3746125,3746512,3741652,[3741625],3764152,3764125,3764512,3476152,3476125,3476512,[3471652],[3471625],7346152,7346125,7346512,7341652,[7341625],7364152,7364125,7364512
3746251,3746215,3746521,3742651,[3742615],3764251,3764215,3764521,3476251,3476215,3476521,[3472651],[3472615],7346251,7346215,7346521,7342651,[7342615],7364251,7364215,7364521
3756142,3756124,3756412,[3751642],[3751624],3765142,3765124,3765412,3576142,3576124,3576412,[3571642],[3571624],7356142,7356124,7356412,[7351642],[7351624],7365142,7365124,7365412
3756241,3756214,3756421,[3752641],[3752614],3765241,3765214,3765421,3576241,3576214,3576421,[3572641],[3572614],7356241,7356214,7356421,[7352641],[7352614],7365241,7365214,7365421
4513276,4513267,[4513726],4512376,4512367,4531276,4531267,[4531726],[4153276],[4153267],[4153726],[4152376],[4152367],5413276,5413267,[5413726],5412376,5412367,5431276,5431267,[5431726]
4516273,4516237,4516723,4512673,4512637,4561273,4561237,[4561723],4156273,4156237,4156723,4152673,4152637,5416273,5416237,5416723,5412673,5412637,5461273,5461237,[5461723]
4516372,4516327,4516732,4513672,4513627,4561372,4561327,[4561732],4156372,4156327,4156732,4153672,4153627,5416372,5416327,5416732,5413672,5413627,5461372,5461327,[5461732]
4517263,4517236,4517623,4512763,4512736,4571263,4571236,[4571623],4157263,4157236,4157623,4152763,[4152736],5417263,5417236,5417623,5412763,5412736,5471263,5471236,[5471623]
4517362,4517326,4517632,4513762,[4513726],4571362,4571326,[4571632],4157362,4157326,4157632,4153762,[4153726],5417362,5417326,5417632,5413762,[5413726],5471362,5471326,[5471632]
4523176,4523167,[4523716],4521376,4521367,4532176,4532167,[4532716],[4253176],[4253167],[4253716],[4251376],[4251367],5423176,5423167,[5423716],5421376,5421367,5432176,5432167,[5432716]
4526173,4526137,4526713,4521673,4521637,4562173,4562137,[4562713],4256173,4256137,4256713,4251673,4251637,5426173,5426137,5426713,5421673,5421637,5462173,5462137,[5462713]
4526371,4526317,4526731,4523671,4523617,4562371,4562317,[4562731],4256371,4256317,4256731,4253671,4253617,5426371,5426317,5426731,5423671,5423617,5462371,5462317,[5462731]
4527163,4527136,4527613,4521763,4521736,4572163,4572136,[4572613],4257163,4257136,4257613,4251763,[4251736],5427163,5427136,5427613,5421763,5421736,5472163,5472136,[5472613]
4527361,4527316,4527631,4523761,[4523716],4572361,4572316,[4572631],4257361,4257316,4257631,4253761,[4253716],5427361,5427316,5427631,5423761,[5423716],5472361,5472316,[5472631]
4536172,4536127,4536712,4531672,4531627,4563172,4563127,4563712,4356172,4356127,4356712,4351672,4351627,5436172,5436127,5436712,5431672,5431627,5463172,5463127,5463712
4536271,4536217,4536721,4532671,4532617,4563271,4563217,4563721,4356271,4356217,4356721,4352671,4352617,5436271,5436217,5436721,5432671,5432617,5463271,5463217,5463721
4537162,4537126,4537612,4531762,[4531726],4573162,4573126,4573612,4357162,4357126,4357612,4351762,[4351726],5437162,5437126,5437612,5431762,[5431726],5473162,5473126,5473612
4537261,4537216,4537621,4532761,[4532716],4573261,4573216,4573621,4357261,4357216,4357621,4352761,[4352716],5437261,5437216,5437621,5432761,[5432716],5473261,5473216,5473621
4613275,4613257,[4613725],4612375,4612357,4631275,4631257,[4631725],[4163275],[4163257],[4163725],[4162375],[4162357],6413275,6413257,[6413725],6412375,6412357,6431275,6431257,[6431725]
4615273,4615237,4615723,4612573,4612537,4651273,4651237,[4651723],4165273,4165237,4165723,[4162573],[4162537],6415273,6415237,6415723,6412573,6412537,6451273,6451237,[6451723]
4615372,4615327,4615732,4613572,4613527,4651372,4651327,[4651732],4165372,4165327,4165732,[4163572],[4163527],6415372,6415327,6415732,6413572,6413527,6451372,6451327,[6451732]
4617253,4617235,4617523,4612753,4612735,4671253,4671235,4671523,4167253,4167235,4167523,[4162753],[4162735],6417253,6417235,6417523,6412753,6412735,6471253,6471235,[6471523]
4617352,4617325,4617532,4613752,[4613725],4671352,4671325,4671532,4167352,4167325,4167532,[4163752],[4163725],6417352,6417325,6417532,6413752,[6413725],6471352,6471325,[6471532]
4623175,4623157,[4623715],4621375,4621357,4632175,4632157,[4632715],[4263175],[4263157],[4263715],[4261375],[4261357],6423175,6423157,[6423715],6421375,6421357,6432175,6432157,[6432715]
4625173,4625137,4625713,4621573,4621537,4652173,4652137,[4652713],4265173,4265137,4265713,[4261573],[4261537],6425173,6425137,6425713,6421573,6421537,6452173,6452137,[6452713]
4625371,4625317,4625731,4623571,4623517,4652371,4652317,[4652731],4265371,4265317,4265731,[4263571],[4263517],6425371,6425317,6425731,6423571,6423517,6452371,6452317,[6452731]
4627153,4627135,4627513,4621753,4621735,4672153,4672135,4672513,4267153,4267135,4267513,[4261753],[4261735],6427153,6427135,6427513,6421753,6421735,6472153,6472135,[6472513]
4627351,4627315,4627531,4623751,[4623715],4672351,4672315,4672531,4267351,4267315,4267531,[4263751],[4263715],6427351,6427315,6427531,6423751,[6423715],6472351,6472315,[6472531]
4635172,4635127,4635712,4631572,4631527,4653172,4653127,4653712,4365172,4365127,4365712,[4361572],[4361527],6435172,6435127,6435712,6431572,6431527,6453172,6453127,6453712
4635271,4635217,4635721,4632571,4632517,4653271,4653217,4653721,4365271,4365217,4365721,[4362571],[4362517],6435271,6435217,6435721,6432571,6432517,6453271,6453217,6453721
4637152,4637125,4637512,4631752,[4631725],4673152,4673125,4673512,4367152,4367125,4367512,[4361752],[4361725],6437152,6437125,6437512,6431752,[6431725],6473152,6473125,6473512
4637251,4637215,4637521,4632751,[4632715],4673251,4673215,4673521,4367251,4367215,4367521,[4362751],[4362715],6437251,6437215,6437521,6432751,[6432715],6473251,6473215,6473521
4657132,4657123,4657312,[4651732],[4651723],4675132,4675123,4675312,4567132,4567123,4567312,[4561732],[4561723],6457132,6457123,6457312,[6451732],[6451723],[6475132],[6475123],[6475312]
4657231,4657213,4657321,[4652731],[4652713],4675231,4675213,4675321,4567231,4567213,4567321,[4562731],[4562713],6457231,6457213,6457321,[6452731],[6452713],[6475231],[6475213],[6475321]
4713265,4713256,[4713625],4712365,4712356,4731265,4731256,[4731625],[4173265],[4173256],[4173625],[4172365],[4172356],7413265,7413256,[7413625],7412365,7412356,7431265,7431256,[7431625]
4715263,4715236,4715623,4712563,4712536,4751263,4751236,[4751623],4175263,4175236,4175623,[4172563],[4172536],7415263,7415236,7415623,7412563,7412536,7451263,7451236,[7451623]
4715362,4715326,4715632,4713562,4713526,4751362,4751326,[4751632],4175362,4175326,4175632,[4173562],[4173526],7415362,7415326,7415632,7413562,7413526,7451362,7451326,[7451632]
4716253,4716235,4716523,4712653,4712635,4761253,4761235,4761523,4176253,4176235,4176523,[4172653],[4172635],7416253,7416235,7416523,7412653,7412635,7461253,7461235,7461523
4716352,4716325,4716532,4713652,[4713625],4761352,4761325,4761532,4176352,4176325,4176532,[4173652],[4173625],7416352,7416325,7416532,7413652,[7413625],7461352,7461325,7461532
4723165,4723156,[4723615],4721365,4721356,4732165,4732156,[4732615],[4273165],[4273156],[4273615],[4271365],[4271356],7423165,7423156,[7423615],7421365,7421356,7432165,7432156,[7432615]
4725163,4725136,4725613,4721563,4721536,4752163,4752136,[4752613],4275163,4275136,4275613,[4271563],[4271536],7425163,7425136,7425613,7421563,7421536,7452163,7452136,[7452613]
4725361,4725316,4725631,4723561,4723516,4752361,4752316,[4752631],4275361,4275316,4275631,[4273561],[4273516],7425361,7425316,7425631,7423561,7423516,7452361,7452316,[7452631]
4726153,4726135,4726513,4721653,4721635,4762153,4762135,4762513,4276153,4276135,4276513,[4271653],[4271635],7426153,7426135,7426513,7421653,7421635,7462153,7462135,7462513
4726351,4726315,4726531,4723651,[4723615],4762351,4762315,4762531,4276351,4276315,4276531,[4273651],[4273615],7426351,7426315,7426531,7423651,[7423615],7462351,7462315,7462531
4735162,4735126,4735612,4731562,4731526,4753162,4753126,4753612,4375162,4375126,4375612,[4371562],[4371526],7435162,7435126,7435612,7431562,7431526,7453162,7453126,7453612
4735261,4735216,4735621,4732561,4732516,4753261,4753216,4753621,4375261,4375216,4375621,[4372561],[4372516],7435261,7435216,7435621,7432561,7432516,7453261,7453216,7453621
4736152,4736125,4736512,4731652,[4731625],4763152,4763125,4763512,4376152,4376125,4376512,[4371652],[4371625],7436152,7436125,7436512,7431652,[7431625],7463152,7463125,7463512
4736251,4736215,4736521,4732651,[4732615],4763251,4763215,4763521,4376251,4376215,4376521,[4372651],[4372615],7436251,7436215,7436521,7432651,[7432615],7463251,7463215,7463521
4756132,4756123,4756312,[4751632],[4751623],4765132,4765123,4765312,4576132,4576123,4576312,[4571632],[4571623],7456132,7456123,7456312,[7451632],[7451623],7465132,7465123,7465312
4756231,4756213,4756321,[4752631],[4752613],4765231,4765213,4765321,4576231,4576213,4576321,[4572631],[4572613],7456231,7456213,7456321,[7452631],[7452613],7465231,7465213,7465321
5613274,5613247,[5613724],5612374,5612347,5631274,5631247,[5631724],[5163274],[5163247],[5163724],[5162374],[5162347],6513274,6513247,[6513724],6512374,6512347,6531274,6531247,[6531724]
5614273,5614237,5614723,5612473,5612437,5641273,5641237,[5641723],[5164273],[5164237],[5164723],[5162473],[5162437],6514273,6514237,6514723,6512473,6512437,6541273,6541237,[6541723]
5614372,5614327,5614732,5613472,5613427,5641372,5641327,[5641732],[5164372],[5164327],[5164732],[5163472],[5163427],6514372,6514327,6514732,6513472,6513427,6541372,6541327,[6541732]
5617243,5617234,5617423,5612743,5612734,5671243,5671234,5671423,5167243,5167234,5167423,[5162743],[5162734],6517243,6517234,6517423,6512743,6512734,6571243,6571234,6571423
5617342,5617324,5617432,5613742,[5613724],5671342,5671324,5671432,5167342,5167324,5167432,[5163742],[5163724],6517342,6517324,6517432,6513742,[6513724],6571342,6571324,6571432
5623174,5623147,[5623714],5621374,5621347,5632174,5632147,[5632714],[5263174],[5263147],[5263714],[5261374],[5261347],6523174,6523147,[6523714],6521374,6521347,6532174,6532147,[6532714]
5624173,5624137,5624713,5621473,5621437,5642173,5642137,[5642713],[5264173],[5264137],[5264713],[5261473],[5261437],6524173,6524137,6524713,6521473,6521437,6542173,6542137,[6542713]
5624371,5624317,5624731,5623471,5623417,5642371,5642317,[5642731],[5264371],[5264317],[5264731],[5263471],[5263417],6524371,6524317,6524731,6523471,6523417,6542371,6542317,[6542731]
5627143,5627134,5627413,5621743,5621734,5672143,5672134,5672413,5267143,5267134,5267413,[5261743],[5261734],6527143,6527134,6527413,6521743,6521734,6572143,6572134,6572413
5627341,5627314,5627431,5623741,[5623714],5672341,5672314,5672431,5267341,5267314,5267431,[5263741],[5263714],6527341,6527314,6527431,6523741,[6523714],6572341,6572314,6572431
5634172,5634127,5634712,5631472,5631427,5643172,5643127,5643712,[5364172],[5364127],[5364712],[5361472],[5361427],6534172,6534127,6534712,6531472,6531427,6543172,6543127,6543712
5634271,5634217,5634721,5632471,5632417,5643271,5643217,5643721,[5364271],[5364217],[5364721],[5362471],[5362417],6534271,6534217,6534721,6532471,6532417,6543271,6543217,6543721
5637142,5637124,5637412,5631742,[5631724],5673142,5673124,5673412,5367142,5367124,5367412,[5361742],[5361724],6537142,6537124,6537412,6531742,[6531724],6573142,6573124,6573412
5637241,5637214,5637421,5632741,[5632714],5673241,5673214,5673421,5367241,5367214,5367421,[5362741],[5362714],6537241,6537214,6537421,6532741,[6532714],6573241,6573214,6573421
5647132,5647123,5647312,[5641732],[5641723],5674132,5674123,5674312,5467132,5467123,5467312,[5461732],[5461723],6547132,6547123,6547312,[6541732],[6541723],6574132,6574123,6574312
5647231,5647213,5647321,[5642731],[5642713],5674231,5674213,5674321,5467231,5467213,5467321,[5462731],[5462713],6547231,6547213,6547321,[6542731],[6542713],6574231,6574213,6574321
5713264,5713246,[5713624],5712364,5712346,5731264,5731246,[5731624],[5173264],[5173246],[5173624],[5172364],[5172346],7513264,7513246,[7513624],7512364,7512346,7531264,7531246,[7531624]
5714263,5714236,5714623,5712463,5712436,5741263,5741236,[5741623],[5174263],[5174236],[5174623],[5172463],[5172436],7514263,7514236,7514623,7512463,7512436,7541263,7541236,[7541623]
5714362,5714326,5714632,5713462,5713426,5741362,5741326,[5741632],[5174362],[5174326],[5174632],[5173462],[5173426],7514362,7514326,7514632,7513462,7513426,7541362,7541326,[7541632]
5716243,5716234,5716423,5712643,5712634,5761243,5761234,5761423,5176243,5176234,5176423,[5172643],[5172634],7516243,7516234,7516423,7512643,7512634,7561243,7561234,7561423
5716342,5716324,5716432,5713642,[5713624],5761342,5761324,5761432,5176342,5176324,5176432,[5173642],[5173624],7516342,7516324,7516432,7513642,[7513624],7561342,7561324,7561432
5723164,5723146,[5723614],5721364,5721346,5732164,5732146,[5732614],[5273164],[5273146],[5273614],[5271364],[5271346],7523164,7523146,[7523614],7521364,7521346,7532164,7532146,[7532614]
5724163,5724136,5724613,5721463,5721436,5742163,5742136,[5742613],[5274163],[5274136],[5274613],[5271463],[5271436],7524163,7524136,7524613,7521463,7521436,7542163,7542136,[7542613]
5724361,5724316,5724631,5723461,5723416,5742361,5742316,[5742631],[5274361],[5274316],[5274631],[5273461],[5273416],7524361,7524316,7524631,7523461,7523416,7542361,7542316,[7542631]
5726143,5726134,5726413,5721643,5721634,5762143,5762134,5762413,5276143,5276134,5276413,[5271643],[5271634],7526143,7526134,7526413,7521643,7521634,7562143,7562134,7562413
5726341,5726314,5726431,5723641,[5723614],5762341,5762314,5762431,5276341,5276314,5276431,[5273641],[5273614],7526341,7526314,7526431,7523641,[7523614],7562341,7562314,7562431
5734162,5734126,5734612,5731462,5731426,5743162,5743126,5743612,[5374162],[5374126],[5374612],[5371462],[5371426],7534162,7534126,7534612,7531462,7531426,7543162,7543126,7543612
5734261,5734216,5734621,5732461,5732416,5743261,5743216,5743621,[5374261],[5374216],[5374621],[5372461],[5372416],7534261,7534216,7534621,7532461,7532416,7543261,7543216,7543621
5736142,5736124,5736412,5731642,[5731624],5763142,5763124,5763412,5376142,5376124,5376412,[5371642],[5371624],7536142,7536124,7536412,7531642,[7531624],7563142,7563124,7563412
5736241,5736214,5736421,5732641,[5732614],5763241,5763214,5763421,5376241,5376214,5376421,[5372641],[5372614],7536241,7536214,7536421,7532641,[7532614],7563241,7563214,7563421
5746132,5746123,5746312,[5741632],[5741623],5764132,5764123,5764312,5476132,5476123,5476312,[5471632],[5471623],7546132,7546123,7546312,[7541632],[7541623],7564132,7564123,7564312
5746231,5746213,5746321,[5742631],[5742613],5764231,5764213,5764321,5476231,5476213,5476321,[5472631],[5472613],7546231,7546213,7546321,[7542631],[7542613],7564231,7564213,7564321
6713254,6713245,[6713524],6712354,6712345,6731254,6731245,[6731524],[6173254],[6173245],[6173524],[6172354],[6172345],7613254,7613245,[7613524],7612354,7612345,7631254,7631245,[7631524]
6714253,6714235,6714523,6712453,6712435,6741253,6741235,[6741523],[6174253],[6174235],[6174523],[6172453],[6172435],7614253,7614235,7614523,7612453,7612435,7641253,7641235,[7641523]
6714352,6714325,6714532,6713452,6713425,6741352,6741325,[6741532],[6174352],[6174325],[6174532],[6173452],[6173425],7614352,7614325,7614532,7613452,7613425,7641352,7641325,[7641532]
6715243,6715234,6715423,6712543,6712534,6751243,6751234,6751423,[6175243],[6175234],[6175423],[6172543],[6172534],7615243,7615234,7615423,7612543,7612534,7651243,7651234,7651423
6715342,6715324,6715432,6713542,[6713524],6751342,6751324,6751432,[6175342],[6175324],[6175432],[6173542],[6173524],7615342,7615324,7615432,7613542,[7613524],7651342,7651324,7651432
6723154,6723145,[6723514],6721354,6721345,6732154,6732145,[6732514],[6273154],[6273145],[6273514],[6271354],[6271345],7623154,7623145,[7623514],7621354,7621345,7632154,7632145,[7632514]
6724153,6724135,6724513,6721453,6721435,6742153,6742135,[6742513],[6274153],[6274135],[6274513],[6271453],[6271435],7624153,7624135,7624513,7621453,7621435,7642153,7642135,[7642513]
6724351,6724315,6724531,6723451,6723415,6742351,6742315,[6742531],[6274351],[6274315],[6274531],[6273451],[6273415],7624351,7624315,7624531,7623451,7623415,7642351,7642315,[7642531]
6725143,6725134,6725413,6721543,6721534,6752143,6752134,6752413,[6275143],[6275134],[6275413],[6271543],[6271534],7625143,7625134,7625413,7621543,7621534,7652143,7652134,7652413
6725341,6725314,6725431,6723541,[6723514],6752341,6752314,6752431,[6275341],[6275314],[6275431],[6273541],[6273514],7625341,7625314,7625431,7623541,[7623514],7652341,7652314,7652431
6734152,6734125,6734512,6731452,6731425,6743152,6743125,6743512,[6374152],[6374125],[6374512],[6371452],[6371425],7634152,7634125,7634512,7631452,7631425,7643152,7643125,7643512
6734251,6734215,6734521,6732451,6732415,6743251,6743215,6743521,[6374251],[6374215],[6374521],[6372451],[6372415],7634251,7634215,7634521,7632451,7632415,7643251,7643215,7643521
6735142,6735124,6735412,6731542,[6731524],6753142,6753124,6753412,[6375142],[6375124],[6375412],[6371542],[6371524],7635142,7635124,7635412,7631542,[7631524],7653142,7653124,7653412
6735241,6735214,6735421,6732541,[6732514],6753241,6753214,6753421,[6375241],[6375214],[6375421],[6372541],[6372514],7635241,7635214,7635421,7632541,[7632514],7653241,7653214,7653421
6745132,6745123,6745312,[6741532],[6741523],6754132,6754123,6754312,[6475132],[6475123],[6475312],[6471532],[6471523],7645132,7645123,7645312,[7641532],[7641523],7654132,7654123,7654312
6745231,6745213,6745321,[6742531],[6742513],6754231,6754213,6754321,[6475231],[6475213],[6475321],[6472531],[6472513],7645231,7645213,7645321,[7642531],[7642513],7654231,7654213,7654321
