********,******(),*****()*,****()**,****()(),***()***,***()*(),***()()*,**()****,**()**(),**()*()*,**()()**,**()()(),*()*****,*()***(),*()**()*,*()*()**,*()*()(),*()()***,*()()*(),*()()()*,()******,()****(),()***()*,()**()**,()**()(),()*()***,()*()*(),()*()()*,()()****,()()**(),()()*()*,()()()**,()()()()
13254768,13254786,13254678,[13257468],[13257486],13245768,13245786,13245678,[13524768],[13524786],[13524678],[13527468],[13527486],12354768,12354786,12354678,[12357468],[12357486],12345768,12345786,12345678,31254768,31254786,31254678,[31257468],[31257486],31245768,31245786,31245678,[31524768],[31524786],[31524678],[31527468],[31527486]
26341857,26341875,26341587,[26348157],[26348175],26314857,26314875,26314587,26431857,26431875,26431587,[26438157],[26438175],23641857,23641875,23641587,[23648157],[23648175],[23614857],[23614875],[23614587],62341857,62341875,62341587,[62348157],[62348175],62314857,62314875,62314587,62431857,62431875,62431587,[62438157],[62438175]
26351748,26351784,26351478,26357148,[26357184],26315748,26315784,26315478,26531748,26531784,26531478,[26537148],[26537184],23651748,23651784,23651478,23657148,[23657184],[23615748],[23615784],[23615478],62351748,62351784,62351478,62357148,[62357184],62315748,62315784,62315478,62531748,62531784,62531478,[62537148],[62537184]
26351847,26351874,26351487,26358147,[26358174],26315847,26315874,26315487,26531847,26531874,26531487,[26538147],[26538174],23651847,23651874,23651487,23658147,[23658174],[23615847],[23615874],[23615487],62351847,62351874,62351487,62358147,[62358174],62315847,62315874,62315487,62531847,62531874,62531487,[62538147],[62538174]
26354718,26354781,26354178,26357418,26357481,26345718,26345781,26345178,26534718,26534781,26534178,[26537418],[26537481],23654718,23654781,23654178,23657418,23657481,23645718,23645781,23645178,62354718,62354781,62354178,62357418,62357481,62345718,62345781,62345178,62534718,62534781,62534178,[62537418],[62537481]
26354817,26354871,26354187,26358417,26358471,26345817,26345871,26345187,26534817,26534871,26534187,[26538417],[26538471],23654817,23654871,23654187,23658417,23658471,23645817,23645871,23645187,62354817,62354871,62354187,62358417,62358471,62345817,62345871,62345187,62534817,62534871,62534187,[62538417],[62538471]
26371548,26371584,26371458,26375148,[26375184],26317548,26317584,26317458,26731548,26731584,26731458,26735148,[26735184],23671548,23671584,23671458,23675148,[23675184],[23617548],[23617584],[23617458],62371548,62371584,62371458,62375148,[62375184],62317548,62317584,62317458,[62731548],[62731584],[62731458],[62735148],[62735184]
26371845,26371854,26371485,26378145,26378154,26317845,26317854,26317485,26731845,26731854,26731485,[26738145],[26738154],23671845,23671854,23671485,23678145,23678154,23617845,23617854,[23617485],62371845,62371854,62371485,62378145,62378154,62317845,62317854,62317485,[62731845],[62731854],[62731485],[62738145],[62738154]
26374518,26374581,26374158,26375418,26375481,26347518,26347581,[26347158],26734518,26734581,26734158,26735418,26735481,23674518,23674581,23674158,23675418,23675481,23647518,23647581,[23647158],62374518,62374581,62374158,62375418,62375481,62347518,62347581,[62347158],[62734518],[62734581],[62734158],[62735418],[62735481]
26374815,26374851,26374185,26378415,26378451,26347815,26347851,[26347185],26734815,26734851,26734185,[26738415],[26738451],23674815,23674851,23674185,23678415,23678451,23647815,23647851,[23647185],62374815,62374851,62374185,62378415,62378451,62347815,62347851,[62347185],[62734815],[62734851],[62734185],[62738415],[62738451]
26375814,26375841,[26375184],26378514,26378541,26357814,26357841,[26357184],26735814,26735841,[26735184],[26738514],[26738541],23675814,23675841,[23675184],23678514,23678541,23657814,23657841,[23657184],62375814,62375841,[62375184],62378514,62378541,62357814,62357841,[62357184],[62735814],[62735841],[62735184],[62738514],[62738541]
26381547,26381574,26381457,26385147,[26385174],26318547,26318574,26318457,26831547,26831574,26831457,26835147,[26835174],23681547,23681574,23681457,23685147,[23685174],[23618547],[23618574],[23618457],62381547,62381574,62381457,62385147,[62385174],62318547,62318574,62318457,[62831547],[62831574],[62831457],[62835147],[62835174]
26381745,26381754,26381475,26387145,26387154,26318745,26318754,26318475,26831745,26831754,26831475,[26837145],[26837154],23681745,23681754,23681475,23687145,23687154,23618745,23618754,[23618475],62381745,62381754,62381475,62387145,62387154,62318745,62318754,62318475,[62831745],[62831754],[62831475],[62837145],[62837154]
26384517,26384571,26384157,26385417,26385471,26348517,26348571,[26348157],26834517,26834571,26834157,26835417,26835471,23684517,23684571,23684157,23685417,23685471,23648517,23648571,[23648157],62384517,62384571,62384157,62385417,62385471,62348517,62348571,[62348157],[62834517],[62834571],[62834157],[62835417],[62835471]
26384715,26384751,26384175,26387415,26387451,26348715,26348751,[26348175],26834715,26834751,26834175,[26837415],[26837451],23684715,23684751,23684175,23687415,23687451,23648715,23648751,[23648175],62384715,62384751,62384175,62387415,62387451,62348715,62348751,[62348175],[62834715],[62834751],[62834175],[62837415],[62837451]
26385714,26385741,[26385174],26387514,26387541,26358714,26358741,[26358174],26835714,26835741,[26835174],[26837514],[26837541],23685714,23685741,[23685174],23687514,23687541,23658714,23658741,[23658174],62385714,62385741,[62385174],62387514,62387541,62358714,62358741,[62358174],[62835714],[62835741],[62835174],[62837514],[62837541]
26451738,26451783,26451378,26457138,[26457183],26415738,26415783,26415378,26541738,26541783,26541378,26547138,[26547183],24651738,24651783,24651378,24657138,[24657183],[24615738],[24615783],[24615378],62451738,62451783,62451378,62457138,[62457183],62415738,62415783,62415378,62541738,62541783,62541378,62547138,[62547183]
26451837,26451873,26451387,26458137,[26458173],26415837,26415873,26415387,26541837,26541873,26541387,26548137,[26548173],24651837,24651873,24651387,24658137,[24658173],[24615837],[24615873],[24615387],62451837,62451873,62451387,62458137,[62458173],62415837,62415873,62415387,62541837,62541873,62541387,62548137,[62548173]
26453718,26453781,26453178,26457318,26457381,26435718,26435781,26435178,26543718,26543781,26543178,26547318,26547381,24653718,24653781,24653178,24657318,24657381,[24635718],[24635781],[24635178],62453718,62453781,62453178,62457318,62457381,62435718,62435781,62435178,62543718,62543781,62543178,62547318,62547381
26453817,26453871,26453187,26458317,26458371,26435817,26435871,26435187,26543817,26543871,26543187,26548317,26548371,24653817,24653871,24653187,24658317,24658371,[24635817],[24635871],[24635187],62453817,62453871,62453187,62458317,62458371,62435817,62435871,62435187,62543817,62543871,62543187,62548317,62548371
26471538,26471583,26471358,26475138,[26475183],26417538,26417583,[26417358],26741538,26741583,26741358,26745138,[26745183],24671538,24671583,24671358,24675138,[24675183],[24617538],[24617583],[24617358],62471538,62471583,62471358,62475138,[62475183],62417538,62417583,[62417358],[62741538],[62741583],[62741358],[62745138],[62745183]
26471835,26471853,26471385,26478135,26478153,26417835,26417853,[26417385],26741835,26741853,26741385,26748135,[26748153],24671835,24671853,24671385,24678135,24678153,24617835,24617853,[24617385],62471835,62471853,62471385,62478135,62478153,62417835,62417853,[62417385],[62741835],[62741853],[62741385],[62748135],[62748153]
26473518,26473581,26473158,26475318,26475381,26437518,26437581,[26437158],26743518,26743581,26743158,26745318,26745381,24673518,24673581,24673158,24675318,24675381,[24637518],[24637581],[24637158],62473518,62473581,62473158,62475318,62475381,62437518,62437581,[62437158],[62743518],[62743581],[62743158],[62745318],[62745381]
26473815,26473851,26473185,26478315,26478351,26437815,26437851,[26437185],26743815,26743851,26743185,26748315,26748351,24673815,24673851,24673185,24678315,24678351,24637815,24637851,[24637185],62473815,62473851,62473185,62478315,62478351,62437815,62437851,[62437185],[62743815],[62743851],[62743185],[62748315],[62748351]
26475813,26475831,[26475183],26478513,26478531,26457813,26457831,[26457183],26745813,26745831,[26745183],[26748513],[26748531],24675813,24675831,[24675183],24678513,24678531,24657813,24657831,[24657183],62475813,62475831,[62475183],62478513,62478531,62457813,62457831,[62457183],[62745813],[62745831],[62745183],[62748513],[62748531]
26481537,26481573,26481357,26485137,[26485173],26418537,26418573,[26418357],26841537,26841573,26841357,26845137,[26845173],24681537,24681573,24681357,24685137,[24685173],[24618537],[24618573],[24618357],62481537,62481573,62481357,62485137,[62485173],62418537,62418573,[62418357],[62841537],[62841573],[62841357],[62845137],[62845173]
26481735,26481753,26481375,26487135,26487153,26418735,26418753,[26418375],26841735,26841753,26841375,26847135,[26847153],24681735,24681753,24681375,24687135,24687153,24618735,24618753,[24618375],62481735,62481753,62481375,62487135,62487153,62418735,62418753,[62418375],[62841735],[62841753],[62841375],[62847135],[62847153]
26483517,26483571,26483157,26485317,26485371,26438517,26438571,[26438157],26843517,26843571,26843157,26845317,26845371,24683517,24683571,24683157,24685317,24685371,[24638517],[24638571],[24638157],62483517,62483571,62483157,62485317,62485371,62438517,62438571,[62438157],[62843517],[62843571],[62843157],[62845317],[62845371]
26483715,26483751,26483175,26487315,26487351,26438715,26438751,[26438175],26843715,26843751,26843175,26847315,26847351,24683715,24683751,24683175,24687315,24687351,24638715,24638751,[24638175],62483715,62483751,62483175,62487315,62487351,62438715,62438751,[62438175],[62843715],[62843751],[62843175],[62847315],[62847351]
26485713,26485731,[26485173],26487513,26487531,26458713,26458731,[26458173],26845713,26845731,[26845173],[26847513],[26847531],24685713,24685731,[24685173],24687513,24687531,24658713,24658731,[24658173],62485713,62485731,[62485173],62487513,62487531,62458713,62458731,[62458173],[62845713],[62845731],[62845173],[62847513],[62847531]
26571438,26571483,26571348,26574138,[26574183],[26517438],[26517483],[26517348],26751438,26751483,26751348,26754138,[26754183],25671438,25671483,25671348,25674138,[25674183],[25617438],[25617483],[25617348],62571438,62571483,62571348,62574138,[62574183],[62517438],[62517483],[62517348],[62751438],[62751483],[62751348],[62754138],[62754183]
26571834,26571843,26571384,26578134,26578143,26517834,26517843,[26517384],26751834,26751843,26751384,26758134,26758143,25671834,25671843,25671384,25678134,25678143,25617834,25617843,[25617384],62571834,62571843,62571384,62578134,62578143,62517834,62517843,[62517384],[62751834],[62751843],[62751384],[62758134],[62758143]
26573418,26573481,26573148,26574318,26574381,[26537418],[26537481],[26537148],26753418,26753481,26753148,26754318,26754381,25673418,25673481,25673148,25674318,25674381,[25637418],[25637481],[25637148],62573418,62573481,62573148,62574318,62574381,[62537418],[62537481],[62537148],[62753418],[62753481],[62753148],[62754318],[62754381]
26573814,26573841,26573184,26578314,26578341,26537814,26537841,[26537184],26753814,26753841,26753184,26758314,26758341,25673814,25673841,25673184,25678314,25678341,25637814,25637841,[25637184],62573814,62573841,62573184,62578314,62578341,62537814,62537841,[62537184],[62753814],[62753841],[62753184],[62758314],[62758341]
26574813,26574831,[26574183],26578413,26578431,26547813,26547831,[26547183],26754813,26754831,[26754183],26758413,26758431,25674813,25674831,[25674183],25678413,25678431,25647813,25647831,[25647183],62574813,62574831,[62574183],62578413,62578431,62547813,62547831,[62547183],[62754813],[62754831],[62754183],[62758413],[62758431]
26581437,26581473,26581347,26584137,[26584173],[26518437],[26518473],[26518347],26851437,26851473,26851347,26854137,[26854173],25681437,25681473,25681347,25684137,[25684173],[25618437],[25618473],[25618347],62581437,62581473,62581347,62584137,[62584173],[62518437],[62518473],[62518347],[62851437],[62851473],[62851347],[62854137],[62854173]
26581734,26581743,26581374,26587134,26587143,26518734,26518743,[26518374],26851734,26851743,26851374,26857134,26857143,25681734,25681743,25681374,25687134,25687143,25618734,25618743,[25618374],62581734,62581743,62581374,62587134,62587143,62518734,62518743,[62518374],[62851734],[62851743],[62851374],[62857134],[62857143]
26583417,26583471,26583147,26584317,26584371,[26538417],[26538471],[26538147],26853417,26853471,26853147,26854317,26854371,25683417,25683471,25683147,25684317,25684371,[25638417],[25638471],[25638147],62583417,62583471,62583147,62584317,62584371,[62538417],[62538471],[62538147],[62853417],[62853471],[62853147],[62854317],[62854371]
26583714,26583741,26583174,26587314,26587341,26538714,26538741,[26538174],26853714,26853741,26853174,26857314,26857341,25683714,25683741,25683174,25687314,25687341,25638714,25638741,[25638174],62583714,62583741,62583174,62587314,62587341,62538714,62538741,[62538174],[62853714],[62853741],[62853174],[62857314],[62857341]
26584713,26584731,[26584173],26587413,26587431,26548713,26548731,[26548173],26854713,26854731,[26854173],26857413,26857431,25684713,25684731,[25684173],25687413,25687431,25648713,25648731,[25648173],62584713,62584731,[62584173],62587413,62587431,62548713,62548731,[62548173],[62854713],[62854731],[62854173],[62857413],[62857431]
27143658,27143685,27143568,[27146358],[27146385],27134658,27134685,27134568,27413658,27413685,27413568,[27416358],[27416385],21743658,21743685,21743568,[21746358],[21746385],21734658,21734685,21734568,72143658,72143685,72143568,[72146358],[72146385],72134658,72134685,72134568,72413658,72413685,72413568,[72416358],[72416385]
27143856,27143865,27143586,[27148356],[27148365],27134856,27134865,27134586,27413856,27413865,27413586,[27418356],[27418365],21743856,21743865,21743586,[21748356],[21748365],21734856,21734865,21734586,72143856,72143865,72143586,[72148356],[72148365],72134856,72134865,72134586,72413856,72413865,72413586,[72418356],[72418365]
27153648,27153684,27153468,27156348,[27156384],27135648,27135684,27135468,27513648,27513684,27513468,[27516348],[27516384],21753648,21753684,21753468,21756348,[21756384],21735648,21735684,21735468,72153648,72153684,72153468,72156348,[72156384],72135648,72135684,72135468,72513648,72513684,72513468,[72516348],[72516384]
27153846,27153864,27153486,27158346,[27158364],27135846,27135864,27135486,27513846,27513864,27513486,[27518346],[27518364],21753846,21753864,21753486,21758346,[21758364],21735846,21735864,21735486,72153846,72153864,72153486,72158346,[72158364],72135846,72135864,72135486,72513846,72513864,72513486,[72518346],[72518364]
27154638,27154683,27154368,27156438,27156483,27145638,27145683,27145368,27514638,27514683,27514368,[27516438],[27516483],21754638,21754683,21754368,21756438,21756483,21745638,21745683,21745368,72154638,72154683,72154368,72156438,72156483,72145638,72145683,72145368,72514638,72514683,72514368,[72516438],[72516483]
27154836,27154863,27154386,27158436,27158463,27145836,27145863,27145386,27514836,27514863,27514386,[27518436],[27518463],21754836,21754863,21754386,21758436,21758463,21745836,21745863,21745386,72154836,72154863,72154386,72158436,72158463,72145836,72145863,72145386,72514836,72514863,72514386,[72518436],[72518463]
27163548,27163584,27163458,27165348,[27165384],27136548,27136584,27136458,27613548,27613584,27613458,27615348,[27615384],21763548,21763584,21763458,21765348,[21765384],21736548,21736584,21736458,72163548,72163584,72163458,72165348,[72165384],72136548,72136584,72136458,72613548,72613584,72613458,72615348,[72615384]
27163845,27163854,27163485,27168345,27168354,27136845,27136854,27136485,27613845,27613854,27613485,[27618345],[27618354],21763845,21763854,21763485,21768345,21768354,21736845,21736854,21736485,72163845,72163854,72163485,72168345,72168354,72136845,72136854,72136485,72613845,72613854,72613485,[72618345],[72618354]
27164538,27164583,27164358,27165438,27165483,27146538,27146583,[27146358],27614538,27614583,27614358,27615438,27615483,21764538,21764583,21764358,21765438,21765483,21746538,21746583,[21746358],72164538,72164583,72164358,72165438,72165483,72146538,72146583,[72146358],72614538,72614583,72614358,72615438,72615483
27164835,27164853,27164385,27168435,27168453,27146835,27146853,[27146385],27614835,27614853,27614385,[27618435],[27618453],21764835,21764853,21764385,21768435,21768453,21746835,21746853,[21746385],72164835,72164853,72164385,72168435,72168453,72146835,72146853,[72146385],72614835,72614853,72614385,[72618435],[72618453]
27165834,27165843,[27165384],27168534,27168543,27156834,27156843,[27156384],27615834,27615843,[27615384],[27618534],[27618543],21765834,21765843,[21765384],21768534,21768543,21756834,21756843,[21756384],72165834,72165843,[72165384],72168534,72168543,72156834,72156843,[72156384],72615834,72615843,[72615384],[72618534],[72618543]
27183546,27183564,27183456,27185346,[27185364],27138546,27138564,27138456,27813546,27813564,27813456,27815346,[27815364],21783546,21783564,21783456,21785346,[21785364],21738546,21738564,21738456,72183546,72183564,72183456,72185346,[72185364],72138546,72138564,72138456,[72813546],[72813564],[72813456],[72815346],[72815364]
27183645,27183654,27183465,27186345,27186354,27138645,27138654,27138465,27813645,27813654,27813465,27816345,27816354,21783645,21783654,21783465,21786345,21786354,21738645,21738654,21738465,72183645,72183654,72183465,72186345,72186354,72138645,72138654,72138465,[72813645],[72813654],[72813465],[72816345],[72816354]
27184536,27184563,27184356,27185436,27185463,27148536,27148563,[27148356],27814536,27814563,27814356,27815436,27815463,21784536,21784563,21784356,21785436,21785463,21748536,21748563,[21748356],72184536,72184563,72184356,72185436,72185463,72148536,72148563,[72148356],[72814536],[72814563],[72814356],[72815436],[72815463]
27184635,27184653,27184365,27186435,27186453,27148635,27148653,[27148365],27814635,27814653,27814365,27816435,27816453,21784635,21784653,21784365,21786435,21786453,21748635,21748653,[21748365],72184635,72184653,72184365,72186435,72186453,72148635,72148653,[72148365],[72814635],[72814653],[72814365],[72816435],[72816453]
27185634,27185643,[27185364],27186534,27186543,27158634,27158643,[27158364],27815634,27815643,[27815364],27816534,27816543,21785634,21785643,[21785364],21786534,21786543,21758634,21758643,[21758364],72185634,72185643,[72185364],72186534,72186543,72158634,72158643,[72158364],[72815634],[72815643],[72815364],[72816534],[72816543]
27341658,27341685,27341568,[27346158],[27346185],27314658,27314685,27314568,27431658,27431685,27431568,[27436158],[27436185],23741658,23741685,23741568,[23746158],[23746185],[23714658],[23714685],[23714568],72341658,72341685,72341568,[72346158],[72346185],72314658,72314685,72314568,72431658,72431685,72431568,[72436158],[72436185]
27341856,27341865,27341586,[27348156],[27348165],27314856,27314865,27314586,27431856,27431865,27431586,[27438156],[27438165],23741856,23741865,23741586,[23748156],[23748165],[23714856],[23714865],[23714586],72341856,72341865,72341586,[72348156],[72348165],72314856,72314865,72314586,72431856,72431865,72431586,[72438156],[72438165]
27351648,27351684,27351468,27356148,[27356184],27315648,27315684,27315468,27531648,27531684,27531468,[27536148],[27536184],23751648,23751684,23751468,23756148,[23756184],[23715648],[23715684],[23715468],72351648,72351684,72351468,72356148,[72356184],72315648,72315684,72315468,72531648,72531684,72531468,[72536148],[72536184]
27351846,27351864,27351486,27358146,[27358164],27315846,27315864,27315486,27531846,27531864,27531486,[27538146],[27538164],23751846,23751864,23751486,23758146,[23758164],[23715846],[23715864],[23715486],72351846,72351864,72351486,72358146,[72358164],72315846,72315864,72315486,72531846,72531864,72531486,[72538146],[72538164]
27354618,27354681,27354168,27356418,27356481,27345618,27345681,27345168,27534618,27534681,27534168,[27536418],[27536481],23754618,23754681,23754168,23756418,23756481,23745618,23745681,23745168,72354618,72354681,72354168,72356418,72356481,72345618,72345681,72345168,72534618,72534681,72534168,[72536418],[72536481]
27354816,27354861,27354186,27358416,27358461,27345816,27345861,27345186,27534816,27534861,27534186,[27538416],[27538461],23754816,23754861,23754186,23758416,23758461,23745816,23745861,23745186,72354816,72354861,72354186,72358416,72358461,72345816,72345861,72345186,72534816,72534861,72534186,[72538416],[72538461]
27361548,27361584,27361458,27365148,[27365184],27316548,27316584,27316458,27631548,27631584,27631458,27635148,[27635184],23761548,23761584,23761458,23765148,[23765184],[23716548],[23716584],[23716458],72361548,72361584,72361458,72365148,[72365184],72316548,72316584,72316458,72631548,72631584,72631458,72635148,[72635184]
27361845,27361854,27361485,27368145,27368154,27316845,27316854,27316485,27631845,27631854,27631485,[27638145],[27638154],23761845,23761854,23761485,23768145,23768154,[23716845],[23716854],[23716485],72361845,72361854,72361485,72368145,72368154,72316845,72316854,72316485,72631845,72631854,72631485,[72638145],[72638154]
27364518,27364581,27364158,27365418,27365481,27346518,27346581,[27346158],27634518,27634581,27634158,27635418,27635481,23764518,23764581,23764158,23765418,23765481,23746518,23746581,[23746158],72364518,72364581,72364158,72365418,72365481,72346518,72346581,[72346158],72634518,72634581,72634158,72635418,72635481
27364815,27364851,27364185,27368415,27368451,27346815,27346851,[27346185],27634815,27634851,27634185,[27638415],[27638451],23764815,23764851,23764185,23768415,23768451,23746815,23746851,[23746185],72364815,72364851,72364185,72368415,72368451,72346815,72346851,[72346185],72634815,72634851,72634185,[72638415],[72638451]
27365814,27365841,[27365184],27368514,27368541,27356814,27356841,[27356184],27635814,27635841,[27635184],[27638514],[27638541],23765814,23765841,[23765184],23768514,23768541,23756814,23756841,[23756184],72365814,72365841,[72365184],72368514,72368541,72356814,72356841,[72356184],72635814,72635841,[72635184],[72638514],[72638541]
27381546,27381564,27381456,27385146,[27385164],27318546,27318564,27318456,27831546,27831564,27831456,27835146,[27835164],23781546,23781564,23781456,23785146,[23785164],[23718546],[23718564],[23718456],72381546,72381564,72381456,72385146,[72385164],72318546,72318564,72318456,[72831546],[72831564],[72831456],[72835146],[72835164]
27381645,27381654,27381465,27386145,27386154,27318645,27318654,27318465,27831645,27831654,27831465,27836145,27836154,23781645,23781654,23781465,23786145,23786154,[23718645],[23718654],[23718465],72381645,72381654,72381465,72386145,72386154,72318645,72318654,72318465,[72831645],[72831654],[72831465],[72836145],[72836154]
27384516,27384561,27384156,27385416,27385461,27348516,27348561,[27348156],27834516,27834561,27834156,27835416,27835461,23784516,23784561,23784156,23785416,23785461,23748516,23748561,[23748156],72384516,72384561,72384156,72385416,72385461,72348516,72348561,[72348156],[72834516],[72834561],[72834156],[72835416],[72835461]
27384615,27384651,27384165,27386415,27386451,27348615,27348651,[27348165],27834615,27834651,27834165,27836415,27836451,23784615,23784651,23784165,23786415,23786451,23748615,23748651,[23748165],72384615,72384651,72384165,72386415,72386451,72348615,72348651,[72348165],[72834615],[72834651],[72834165],[72836415],[72836451]
27385614,27385641,[27385164],27386514,27386541,27358614,27358641,[27358164],27835614,27835641,[27835164],27836514,27836541,23785614,23785641,[23785164],23786514,23786541,23758614,23758641,[23758164],72385614,72385641,[72385164],72386514,72386541,72358614,72358641,[72358164],[72835614],[72835641],[72835164],[72836514],[72836541]
27451638,27451683,27451368,27456138,[27456183],27415638,27415683,27415368,27541638,27541683,27541368,27546138,[27546183],24751638,24751683,24751368,24756138,[24756183],[24715638],[24715683],[24715368],72451638,72451683,72451368,72456138,[72456183],72415638,72415683,72415368,72541638,72541683,72541368,72546138,[72546183]
27451836,27451863,27451386,27458136,[27458163],27415836,27415863,27415386,27541836,27541863,27541386,27548136,[27548163],24751836,24751863,24751386,24758136,[24758163],[24715836],[24715863],[24715386],72451836,72451863,72451386,72458136,[72458163],72415836,72415863,72415386,72541836,72541863,72541386,72548136,[72548163]
27453618,27453681,27453168,27456318,27456381,27435618,27435681,27435168,27543618,27543681,27543168,27546318,27546381,24753618,24753681,24753168,24756318,24756381,[24735618],[24735681],[24735168],72453618,72453681,72453168,72456318,72456381,72435618,72435681,72435168,72543618,72543681,72543168,72546318,72546381
27453816,27453861,27453186,27458316,27458361,27435816,27435861,27435186,27543816,27543861,27543186,27548316,27548361,24753816,24753861,24753186,24758316,24758361,[24735816],[24735861],[24735186],72453816,72453861,72453186,72458316,72458361,72435816,72435861,72435186,72543816,72543861,72543186,72548316,72548361
27461538,27461583,27461358,27465138,[27465183],27416538,27416583,[27416358],27641538,27641583,27641358,27645138,[27645183],24761538,24761583,24761358,24765138,[24765183],[24716538],[24716583],[24716358],72461538,72461583,72461358,72465138,[72465183],72416538,72416583,[72416358],72641538,72641583,72641358,72645138,[72645183]
27461835,27461853,27461385,27468135,27468153,27416835,27416853,[27416385],27641835,27641853,27641385,27648135,[27648153],24761835,24761853,24761385,24768135,24768153,[24716835],[24716853],[24716385],72461835,72461853,72461385,72468135,72468153,72416835,72416853,[72416385],72641835,72641853,72641385,72648135,[72648153]
27463518,27463581,27463158,27465318,27465381,27436518,27436581,[27436158],27643518,27643581,27643158,27645318,27645381,24763518,24763581,24763158,24765318,24765381,[24736518],[24736581],[24736158],72463518,72463581,72463158,72465318,72465381,72436518,72436581,[72436158],72643518,72643581,72643158,72645318,72645381
27463815,27463851,27463185,27468315,27468351,27436815,27436851,[27436185],27643815,27643851,27643185,27648315,27648351,24763815,24763851,24763185,24768315,24768351,[24736815],[24736851],[24736185],72463815,72463851,72463185,72468315,72468351,72436815,72436851,[72436185],72643815,72643851,72643185,72648315,72648351
27465813,27465831,[27465183],27468513,27468531,27456813,27456831,[27456183],27645813,27645831,[27645183],[27648513],[27648531],24765813,24765831,[24765183],24768513,24768531,24756813,24756831,[24756183],72465813,72465831,[72465183],72468513,72468531,72456813,72456831,[72456183],72645813,72645831,[72645183],[72648513],[72648531]
27481536,27481563,27481356,27485136,[27485163],27418536,27418563,[27418356],27841536,27841563,27841356,27845136,[27845163],24781536,24781563,24781356,24785136,[24785163],[24718536],[24718563],[24718356],72481536,72481563,72481356,72485136,[72485163],72418536,72418563,[72418356],[72841536],[72841563],[72841356],[72845136],[72845163]
27481635,27481653,27481365,27486135,27486153,27418635,27418653,[27418365],27841635,27841653,27841365,27846135,27846153,24781635,24781653,24781365,24786135,24786153,[24718635],[24718653],[24718365],72481635,72481653,72481365,72486135,72486153,72418635,72418653,[72418365],[72841635],[72841653],[72841365],[72846135],[72846153]
27483516,27483561,27483156,27485316,27485361,27438516,27438561,[27438156],27843516,27843561,27843156,27845316,27845361,24783516,24783561,24783156,24785316,24785361,[24738516],[24738561],[24738156],72483516,72483561,72483156,72485316,72485361,72438516,72438561,[72438156],[72843516],[72843561],[72843156],[72845316],[72845361]
27483615,27483651,27483165,27486315,27486351,27438615,27438651,[27438165],27843615,27843651,27843165,27846315,27846351,24783615,24783651,24783165,24786315,24786351,[24738615],[24738651],[24738165],72483615,72483651,72483165,72486315,72486351,72438615,72438651,[72438165],[72843615],[72843651],[72843165],[72846315],[72846351]
27485613,27485631,[27485163],27486513,27486531,27458613,27458631,[27458163],27845613,27845631,[27845163],27846513,27846531,24785613,24785631,[24785163],24786513,24786531,24758613,24758631,[24758163],72485613,72485631,[72485163],72486513,72486531,72458613,72458631,[72458163],[72845613],[72845631],[72845163],[72846513],[72846531]
27561438,27561483,27561348,27564138,[27564183],[27516438],[27516483],[27516348],27651438,27651483,27651348,27654138,[27654183],25761438,25761483,25761348,25764138,[25764183],[25716438],[25716483],[25716348],72561438,72561483,72561348,72564138,[72564183],[72516438],[72516483],[72516348],72651438,72651483,72651348,72654138,[72654183]
27561834,27561843,27561384,27568134,27568143,27516834,27516843,[27516384],27651834,27651843,27651384,27658134,27658143,25761834,25761843,25761384,25768134,25768143,[25716834],[25716843],[25716384],72561834,72561843,72561384,72568134,72568143,72516834,72516843,[72516384],72651834,72651843,72651384,72658134,72658143
27563418,27563481,27563148,27564318,27564381,[27536418],[27536481],[27536148],27653418,27653481,27653148,27654318,27654381,25763418,25763481,25763148,25764318,25764381,[25736418],[25736481],[25736148],72563418,72563481,72563148,72564318,72564381,[72536418],[72536481],[72536148],72653418,72653481,72653148,72654318,72654381
27563814,27563841,27563184,27568314,27568341,27536814,27536841,[27536184],27653814,27653841,27653184,27658314,27658341,25763814,25763841,25763184,25768314,25768341,[25736814],[25736841],[25736184],72563814,72563841,72563184,72568314,72568341,72536814,72536841,[72536184],72653814,72653841,72653184,72658314,72658341
27564813,27564831,[27564183],27568413,27568431,27546813,27546831,[27546183],27654813,27654831,[27654183],27658413,27658431,25764813,25764831,[25764183],25768413,25768431,[25746813],[25746831],[25746183],72564813,72564831,[72564183],72568413,72568431,72546813,72546831,[72546183],72654813,72654831,[72654183],72658413,72658431
27581436,27581463,27581346,27584136,[27584163],[27518436],[27518463],[27518346],27851436,27851463,27851346,27854136,[27854163],25781436,25781463,25781346,25784136,[25784163],[25718436],[25718463],[25718346],72581436,72581463,72581346,72584136,[72584163],[72518436],[72518463],[72518346],[72851436],[72851463],[72851346],[72854136],[72854163]
27581634,27581643,27581364,27586134,27586143,27518634,27518643,[27518364],27851634,27851643,27851364,27856134,27856143,25781634,25781643,25781364,25786134,25786143,[25718634],[25718643],[25718364],72581634,72581643,72581364,72586134,72586143,72518634,72518643,[72518364],[72851634],[72851643],[72851364],[72856134],[72856143]
27583416,27583461,27583146,27584316,27584361,[27538416],[27538461],[27538146],27853416,27853461,27853146,27854316,27854361,25783416,25783461,25783146,25784316,25784361,[25738416],[25738461],[25738146],72583416,72583461,72583146,72584316,72584361,[72538416],[72538461],[72538146],[72853416],[72853461],[72853146],[72854316],[72854361]
